Loan_Identifier,Monthly_Reporting_Period,Channel,Seller_Name,Servicer_Name,Original_Interest_Rate,Current_Interest_Rate,Original_UPB,Current_Actual_UPB,Original_Loan_Term,Loan_Age,Remaining_Months_to_Legal_Maturity,Remaining_Months_to_Maturity,Original_Loan_to_Value_Ratio_LTV,Original_Combined_Loan_to_Value_Ratio_CLTV,Number_of_Borrowers,Debt_To_Income_DTI,Borrower_Credit_Score_at_Origination,Co_Borrower_Credit_Score_at_Origination,First_Time_Home_Buyer_Indicator,Loan_Purpose,Property_Type,Number_of_Units,Occupancy_Status,Property_State,Metropolitan_Statistical_Area_MSA,Zip_Code_Short,Mortgage_Insurance_Percentage,Amortization_Type,Prepayment_Penalty_Indicator,Interest_Only_Loan_Indicator,Current_Loan_Delinquency_Status,Loan_Payment_History,Modification_Flag,Zero_Balance_Code,UPB_at_the_Time_of_Removal,Total_Principal_Current,Foreclosure_Costs,Property_Preservation_and_Repair_Costs,Asset_Recovery_Costs,Miscellaneous_Holding_Expenses_and_Credits,Associated_Taxes_for_Holding_Property,Net_Sales_Proceeds,Credit_Enhancement_Proceeds,Repurchase_Make_Whole_Proceeds,Other_Foreclosure_Proceeds,Modification_Related_Non_Interest_Bearing_UPB,Principal_Forgiveness_Amount,Mortgage_Insurance_Type,Servicing_Activity_Indicator,Special_Eligibility_Program,Foreclosure_Principal_Write_off_Amount,Relocation_Mortgage_Indicator,Property_Valuation_Method,High_Balance_Loan_Indicator,Borrower_Assistance_Plan,High_Loan_to_Value_HLTV_Refinance_Option_Indicator,Repurchase_Make_Whole_Proceeds_Flag,Alternative_Delinquency_Resolution,Alternative_Delinquency_Resolution_Count,Total_Deferral_Amount,Payment_Deferral_Modification_Event_Indicator,From_File,From_File_Numeric
189706619012,2004-05-01 00:00:00,R,Usaa Federal Savings Bank,Other,7.625,7.625,106000.0,100206.43,360.0,52.0,308.0,302.0,80.0,,2.0,3.0,783.0,760.0,False,P,SF,1.0,P,TX,12420,786.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
189770032814,2008-05-01 00:00:00,R,Other,Other,8.0,8.0,54000.0,46488.16,360.0,100.0,260.0,230.0,90.0,,1.0,29.0,746.0,,True,P,SF,1.0,P,TX,19100,751.0,17.0,FRM,False,False,00,,False,,,,,,,,,,,,,,,1.0,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
189845355281,2002-05-01 00:00:00,B,"Jpmorgan Chase Bank, National Association","Jpmorgan Chase Bank, National Association",7.75,7.75,113000.0,110511.84,360.0,28.0,332.0,332.0,90.0,,2.0,27.0,689.0,685.0,False,P,SF,1.0,P,FL,15980,339.0,25.0,FRM,False,,00,,False,,,,,,,,,,,,,,,1.0,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
190019125661,2000-07-01 00:00:00,B,"Jpmorgan Chase Bank, Na",,7.75,,152000.0,0.0,360.0,,,,93.0,,2.0,60.0,736.0,757.0,False,P,CO,1.0,P,CA,31100,928.0,30.0,FRM,False,,XX,,,1.0,152000.0,,,,,,,,,,,,,1.0,,7,,False,,False,,False,False,,,,7,2000Q1,2000.0
190115462155,2003-07-01 00:00:00,R,"Bank Of America, N.A.","Bank Of America, N.A.",8.75,8.75,36000.0,34555.28,360.0,40.0,320.0,320.0,27.0,,1.0,27.0,787.0,,False,C,CO,1.0,P,CO,19740,802.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
190234928137,2001-02-01 00:00:00,C,Suntrust Mortgage Inc.,,7.875,7.875,123000.0,118527.92,180.0,12.0,168.0,168.0,40.0,,2.0,53.0,771.0,746.0,False,P,SF,1.0,P,VA,13980,240.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
190335103792,2001-11-01 00:00:00,C,"Wells Fargo Bank, N.A.",,8.25,8.25,108000.0,105848.79,360.0,22.0,338.0,338.0,77.0,,2.0,38.0,609.0,606.0,False,R,SF,1.0,P,MA,14460,14.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
190416535884,2001-02-01 00:00:00,R,Regions Bank,,8.0,8.0,79000.0,76941.24,240.0,14.0,226.0,226.0,71.0,,2.0,18.0,735.0,777.0,False,C,SF,1.0,P,TN,34980,371.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
190471691403,2008-09-01 00:00:00,R,Regions Bank,Other,8.0,8.0,21000.0,5662.94,360.0,105.0,255.0,43.0,38.0,,1.0,23.0,706.0,,False,R,SF,1.0,P,IN,0,469.0,,FRM,False,False,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
190541517438,2003-10-01 00:00:00,B,"Flagstar Bank, Fsb","Jpmorgan Chase Bank, National Association",7.625,7.625,95000.0,76757.17,180.0,45.0,135.0,126.0,90.0,,2.0,35.0,711.0,716.0,False,C,SF,1.0,P,NM,0,877.0,12.0,FRM,False,,00,,False,,,,,,,,,,,,,,,1.0,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
190652373918,2000-08-01 00:00:00,R,"Gmac Mortgage, Llc",,7.375,7.375,116000.0,115346.74,360.0,8.0,352.0,349.0,67.0,,2.0,48.0,680.0,671.0,False,R,SF,1.0,P,CA,41740,920.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
