fund_date,start_date,finish_date,price,total_additional_payments,expenses,total_after_fees,total_hours,status,project_type,master_ownership,song_ownership,time_tracked,soundbetter,spec_project,experienced_client,difficult_client,backend_belief,backend_money_made,sync_license,fully_produced,songwriter,project_hourly,days_to_finish,days_to_start,client_id,project_id
2020-10-22,2020-10-24,2020-12-09,0.37333333333333335,,,0.37333333333333335,23.41,Done,full production,,,True,False,False,True,False,False,False,False,True,False,0.015946666666666665,46.0,2.0,14,26
2020-06-15,2020-08-24,2020-10-06,0.22666666666666666,0.22666666666666666,0.037333333333333336,0.38023199999999996,21.43,Done,track production,,,True,True,False,True,False,True,False,False,True,False,0.017744000000000003,43.0,70.0,14,25
2020-04-19,2020-05-26,2020-06-30,0.25333333333333335,,,0.23334666666666665,12.27,Done,track production,,,True,True,False,False,False,False,False,False,True,False,0.019018666666666666,35.0,37.0,15,78
,,2018-05-15,,,,,,Done,full production,,0.5,False,False,True,True,False,True,False,False,True,True,,,,16,160
2023-02-25,2023-03-04,2023-04-02,0.5501333333333334,,,0.49572533333333335,16.54,Done,full production,0.5,0.5,True,True,False,False,False,True,False,False,True,True,0.029970666666666666,29.0,7.0,17,129
2023-07-17,2023-07-18,,0.5333333333333333,,,0.5333333333333333,28.48,Paused,full production,0.5,0.5,True,False,False,False,True,True,False,False,False,True,0.018725333333333333,,1.0,17,130
2023-04-07,2023-04-08,2023-06-26,0.7333333333333333,,,0.7333333333333333,17.6,Done,full production,0.03,,True,False,False,False,False,True,False,False,True,True,0.041666666666666664,79.0,1.0,18,53
2023-05-05,2023-05-07,2023-10-28,0.7333333333333333,,,0.7333333333333333,28.13,Done,full production,0.03,,True,False,False,False,False,True,False,False,True,True,0.026069333333333333,174.0,2.0,18,51
2022-12-06,2022-12-11,2023-02-28,0.7333333333333333,,,0.6608080000000001,25.7,Done,full production,0.03,,True,True,False,False,False,True,False,False,True,True,0.025712,79.0,5.0,18,52
2023-11-03,2023-12-07,2024-01-18,0.7333333333333333,,,0.7333333333333333,14.73,Done,full production,0.03,0.3,True,False,False,False,False,True,False,False,True,True,0.049784,42.0,34.0,18,50
2024-01-18,2024-01-25,,0.7333333333333333,,,0.7333333333333333,19.89,Active,full production,0.03,,True,False,False,False,False,True,False,False,,False,0.03686933333333333,,7.0,18,49
2020-02-13,2020-02-14,2020-05-07,0.25333333333333335,,,0.23334666666666665,12.21,Done,track production,,,True,True,False,False,False,False,False,False,True,False,0.019112,83.0,1.0,19,73
2019-09-03,2020-10-30,2021-02-16,0.4666666666666667,,0.007039999999999999,0.45962666666666663,24.38,Done,full production,0.5,,True,False,False,False,False,True,False,False,True,True,0.018853333333333333,109.0,423.0,20,70
2020-06-02,2020-06-04,2020-06-24,0.024,,,0.022106666666666667,1.77,Done,mastering,,,True,True,False,False,False,False,False,False,True,False,0.012490666666666667,20.0,2.0,21,88
2020-04-17,2020-07-14,,0.3466666666666667,,0.08,0.23931466666666665,16.8,Paused,full production,,,True,True,False,False,False,False,False,False,False,False,0.014245333333333334,,88.0,22,235
2020-07-09,2020-09-14,2020-11-14,0.21333333333333335,,,0.19650133333333333,16.68,Done,track production,,,True,True,False,False,True,False,False,False,True,False,0.011781333333333333,61.0,67.0,23,89
2021-01-24,2021-01-25,2021-03-08,0.10666666666666667,0.013333333333333334,,0.11053333333333333,10.23,Done,mixing,,,True,True,False,False,True,False,False,False,True,False,0.010805333333333333,42.0,1.0,23,90
2023-03-03,2023-03-06,2023-03-09,0.02,,,0.018021333333333334,0.23,Done,mastering,0.0,,True,True,False,False,False,False,False,False,True,False,0.07835466666666666,3.0,3.0,24,131
,2022-10-13,2022-10-13,,,,,20.67,Done,full production,,0.33,True,False,True,True,False,True,False,False,True,True,,0.0,,25,138
2020-08-04,2021-03-08,2021-07-09,0.22666666666666666,0.06666666666666667,,0.27018933333333334,9.65,Done,track production,,,True,True,False,False,False,False,False,False,True,False,0.028,123.0,216.0,26,93
2020-10-04,2021-09-25,,0.17333333333333334,,,0.15965866666666667,3.51,Paused,full production,,,True,True,False,False,False,False,False,False,False,False,0.045488,,356.0,27,98
2021-07-13,2021-07-14,2021-07-28,0.12,,,0.12,9.04,Done,vocal production,,,True,False,False,False,False,False,False,False,True,False,0.013274666666666667,14.0,1.0,27,97
2020-09-10,2021-05-30,2021-07-28,0.17333333333333334,,,0.15965866666666667,13.59,Done,full production,,,True,True,False,False,False,False,False,False,True,False,0.011749333333333334,59.0,262.0,27,96
2020-05-04,2020-05-28,2020-07-25,0.17333333333333334,,,0.15965866666666667,7.81,Done,track production,,,True,True,False,False,False,False,False,False,True,False,0.020442666666666665,58.0,24.0,28,79
2020-05-04,2020-05-22,2020-06-30,0.17333333333333334,,,0.15965866666666667,11.44,Done,full production,,,True,True,False,False,False,False,False,False,True,False,0.013957333333333334,39.0,18.0,28,80
2020-05-04,2020-05-05,2020-06-08,0.08,,,0.07368799999999999,7.41,Done,mixing,,,True,True,False,False,False,False,False,False,True,False,0.009944,34.0,1.0,28,81
2022-10-27,2022-11-07,,0.4666666666666667,,,0.4205146666666667,17.82,Active,additional production,,,True,True,False,False,False,False,False,False,,False,0.02359733333333333,,11.0,29,23
2022-02-08,2022-02-09,2022-05-17,0.4,,,0.4,34.56,Done,full production,0.5,0.5,True,False,False,False,False,True,False,False,True,True,0.011573333333333333,97.0,1.0,30,124
,,2022-02-14,,,,,0.0,Done,full production,,0.33,True,False,True,True,False,True,False,False,False,True,,,,31,142
,2021-10-20,2021-11-02,,,,,22.25,Done,full production,,0.33,True,False,True,True,False,True,False,False,True,True,,13.0,,31,141
2020-11-23,2020-11-23,2021-01-30,0.064,,,0.05894933333333333,2.08,Done,additional production,,,True,True,False,False,True,False,False,False,True,False,0.028341333333333333,68.0,0.0,32,118
2021-11-29,2021-11-30,2021-12-07,0.03333333333333333,,,0.030704,0.5,Done,production tweak,,,True,True,False,False,False,False,False,False,True,False,0.061408,7.0,1.0,32,119
2020-05-02,2020-05-18,,0.22666666666666666,,,0.20878400000000003,3.17,Paused,track production,,,True,True,False,False,False,False,False,False,False,False,0.06586133333333333,,16.0,33,236
2020-08-04,2020-10-20,2020-10-24,0.22666666666666666,,,0.20878400000000003,6.23,Done,track production,,,True,True,False,False,False,False,False,False,True,False,0.033512,4.0,77.0,34,94
2020-11-12,2021-05-27,2021-08-04,0.25333333333333335,,,0.23334666666666665,5.26,Done,track production,,,True,True,False,False,False,False,False,False,True,False,0.04436266666666667,69.0,196.0,35,113
2021-08-16,2021-08-28,2021-09-01,0.17333333333333334,,0.06666666666666667,0.092992,1.42,Done,vocal production,,,True,True,False,False,False,False,False,False,True,False,0.065488,4.0,12.0,35,114
2021-09-27,2022-01-11,2023-08-12,0.25333333333333335,,,0.23334666666666665,18.08,Done,full production,,,True,True,False,False,False,False,False,False,True,True,0.012906666666666667,578.0,106.0,35,115
,,2018-06-22,,,,,,Done,full production,,0.5,False,True,False,True,False,True,False,False,True,True,,,,36,161
,,2018-01-03,,,,,,Done,full production,,0.5,False,True,False,True,False,True,True,False,True,True,,,,36,162
