client_id,project_id,fund_date,start_date,finish_date,price,total_additional_payments,expenses,total_after_fees,total_hours,project_type,master_ownership,song_ownership,soundbetter,spec_project,experienced_client,difficult_client,backend_belief,backend_money_made,sync_license,fully_produced,songwriter,project_hourly,days_to_finish,days_to_start
12,111,2023-02-25,2023-03-04,2023-04-02,0.5501333333333334,,,0.49572533333333335,16.54,full production,0.5,0.5,True,False,False,False,True,False,False,True,True,0.029970666666666666,29.0,7.0
13,13,2023-11-03,2023-12-07,2024-01-18,0.7333333333333333,,,0.7333333333333333,14.73,full production,0.03,0.3,False,False,False,False,True,False,False,True,True,0.049784,42.0,34.0
13,16,2023-04-07,2023-04-08,2023-06-26,0.7333333333333333,,,0.7333333333333333,17.6,full production,0.03,,False,False,False,False,True,False,False,True,True,0.041666666666666664,79.0,1.0
13,12,2024-01-18,2024-01-25,2024-03-07,0.7333333333333333,,,0.7333333333333333,20.07,full production,0.03,0.3,False,False,False,False,True,False,False,True,False,0.03653866666666667,42.0,7.0
13,14,2023-05-05,2023-05-07,2023-10-28,0.7333333333333333,,,0.7333333333333333,28.13,full production,0.03,,False,False,False,False,True,False,False,True,True,0.026069333333333333,174.0,2.0
13,15,2022-12-06,2022-12-11,2023-02-28,0.7333333333333333,,,0.6608080000000001,25.7,full production,0.03,,True,False,False,False,True,False,False,True,True,0.025712,79.0,5.0
13,11,2024-03-07,2024-03-14,2024-06-17,0.7333333333333333,,,0.7333333333333333,20.51,full production,0.03,0.25,False,False,True,False,True,False,False,,True,0.03575466666666667,95.0,7.0
14,38,2020-02-13,2020-02-14,2020-05-07,0.25333333333333335,,,0.23334666666666665,12.21,track production,,,True,False,False,False,False,False,False,True,False,0.019112,83.0,1.0
15,35,2019-09-03,2020-10-30,2021-02-16,0.4666666666666667,,0.007039999999999999,0.45962666666666663,24.38,full production,0.5,,False,False,False,False,True,False,False,True,True,0.018853333333333333,109.0,423.0
16,59,2020-06-02,2020-06-04,2020-06-24,0.024,,,0.022106666666666667,1.77,mastering,,,True,False,False,False,False,False,False,True,False,0.012490666666666667,20.0,2.0
17,69,2020-07-09,2020-09-14,2020-11-14,0.21333333333333335,,,0.19650133333333333,16.68,track production,,,True,False,False,True,False,False,False,True,False,0.011781333333333333,61.0,67.0
17,70,2021-01-24,2021-01-25,2021-03-08,0.10666666666666667,0.013333333333333334,,0.11053333333333333,10.23,mixing,,,True,False,False,True,False,False,False,True,False,0.010805333333333333,42.0,1.0
18,112,2023-03-03,2023-03-06,2023-03-09,0.02,,,0.018021333333333334,0.23,mastering,0.0,,True,False,False,False,False,False,False,True,False,0.07835466666666666,3.0,3.0
19,118,,2022-10-13,2022-10-13,,,,,20.67,full production,,0.33,False,True,True,False,True,False,False,True,True,,0.0,
20,73,2020-08-04,2021-03-08,2021-07-09,0.22666666666666666,0.06666666666666667,,0.27018933333333334,9.65,track production,,,True,False,False,False,False,False,False,True,False,0.028,123.0,216.0
21,50,2020-05-04,2020-05-22,2020-06-30,0.17333333333333334,,,0.15965866666666667,11.44,full production,,,True,False,False,False,False,False,False,True,False,0.013957333333333334,39.0,18.0
21,49,2020-05-04,2020-05-28,2020-07-25,0.17333333333333334,,,0.15965866666666667,7.81,track production,,,True,False,False,False,False,False,False,True,False,0.020442666666666665,58.0,24.0
21,52,2020-09-10,2021-05-30,2021-07-28,0.17333333333333334,0.12,,0.27018933333333334,23.13,full production,,,True,False,False,False,False,False,False,True,False,0.011682666666666668,59.0,262.0
21,51,2020-05-04,2020-05-05,2020-06-08,0.08,,,0.07368799999999999,7.41,mixing,,,True,False,False,False,False,False,False,True,False,0.009944,34.0,1.0
22,106,2022-02-08,2022-02-09,2022-05-17,0.4,,,0.4,34.56,full production,0.5,0.5,False,False,False,False,True,False,False,True,True,0.011573333333333333,97.0,1.0
23,122,,,2022-02-14,,,,,0.0,full production,,0.33,False,True,True,False,True,False,False,False,True,,,
23,121,,2021-10-20,2021-11-02,,,,,22.25,full production,,0.33,False,True,True,False,True,False,False,True,True,,13.0,
24,91,2021-11-29,2021-11-30,2021-12-07,0.03333333333333333,,,0.030704,0.5,additional production,,,True,False,False,False,False,False,False,True,False,0.061408,7.0,1.0
24,90,2020-11-23,2020-11-23,2021-01-30,0.064,,,0.05894933333333333,2.08,additional production,,,True,False,False,True,False,False,False,True,False,0.028341333333333333,68.0,0.0
25,74,2020-08-04,2020-10-20,2020-10-24,0.22666666666666666,,,0.20878400000000003,6.23,track production,,,True,False,False,False,False,False,False,True,False,0.033512,4.0,77.0
26,85,2020-11-12,2021-05-27,2021-08-04,0.25333333333333335,,,0.23334666666666665,5.26,track production,,,True,False,False,False,False,False,False,True,False,0.04436266666666667,69.0,196.0
26,87,2021-09-27,2022-01-11,2023-08-12,0.25333333333333335,,,0.23334666666666665,18.08,full production,,,True,False,False,False,False,False,False,True,True,0.012906666666666667,578.0,106.0
26,86,2021-08-16,2021-08-28,2021-09-01,0.17333333333333334,,0.06666666666666667,0.092992,1.42,vocal production,,,True,False,False,False,False,False,False,True,False,0.065488,4.0,12.0
27,113,2023-03-29,2023-04-11,2023-05-19,0.7333333333333333,,,0.6608080000000001,16.26,full production,0.0,,True,False,False,False,False,False,False,True,False,0.04064,38.0,13.0
28,71,2020-07-24,2020-12-15,2021-01-30,0.22666666666666666,0.16,,0.35616,12.44,track production,,,True,False,False,False,False,False,False,True,False,0.028629333333333333,46.0,144.0
28,72,2021-02-25,2021-03-05,2021-04-19,0.18666666666666668,,0.05333333333333334,0.11860533333333333,9.65,track production,,,True,False,False,False,False,False,False,True,False,0.012290666666666667,45.0,8.0
29,103,2021-08-26,2021-08-27,2021-08-29,0.18666666666666668,,,0.17193866666666666,6.9,additional production,,,True,False,True,False,False,False,False,True,False,0.024917333333333333,2.0,1.0
29,104,2022-06-22,2022-06-23,2022-07-29,0.5333333333333333,0.13333333333333333,,0.6140666666666666,24.42,additional production,,,True,False,True,False,False,False,False,True,False,0.025146666666666664,36.0,1.0
30,9,2024-06-10,2024-06-21,2024-06-21,0.2,,,0.18022133333333334,5.67,vocal production,0.0,0.0,True,False,False,False,False,False,False,True,False,0.031784,0.0,11.0
30,10,2024-05-12,2024-06-04,2024-06-05,0.13333333333333333,,,0.12014666666666667,3.0,engineering,0.0,0.0,True,False,True,False,False,False,False,True,False,0.040048,1.0,23.0
31,61,2021-12-05,2021-12-06,2021-12-15,0.16559200000000002,,,0.16559200000000002,4.7,additional production,,,False,False,False,True,False,False,False,True,False,0.035232,9.0,1.0
31,60,2020-06-08,2020-10-15,2021-10-27,0.22666666666666666,0.25333333333333335,,0.442128,27.62,full production,,,True,False,False,False,False,False,False,True,False,0.016008,377.0,129.0
32,29,2023-08-10,2023-09-04,2023-10-30,0.5357333333333333,,,0.4827493333333333,11.6,track production,,,True,False,False,False,False,False,False,True,True,0.041616,56.0,25.0
33,83,2020-10-27,2020-10-29,2020-11-27,0.36784,0.09333333333333334,,0.4611733333333334,33.85,full production,,,False,False,True,True,False,False,False,True,False,0.013624,29.0,2.0
34,36,2019-10-10,2020-02-13,2020-04-09,0.24,,,0.221064,12.92,track production,,,True,False,False,False,False,False,False,True,False,0.017109333333333334,56.0,126.0
35,124,,2020-09-01,2020-09-09,,,,,19.53,full production,,0.33,False,True,True,False,True,False,False,True,True,,8.0,
35,123,,2020-11-01,2020-11-07,,,,,19.25,full production,,0.33,False,True,True,False,True,False,False,True,True,,6.0,
36,34,2023-06-25,2023-06-27,2023-09-21,0.5333333333333333,,,0.5333333333333333,29.22,full production,0.5,0.25,False,False,True,False,True,False,False,True,True,0.018253333333333333,86.0,2.0
37,75,2020-08-28,2021-03-03,2021-06-23,0.22666666666666666,0.013333333333333334,,0.221064,13.92,track production,,,True,False,False,False,False,False,False,True,False,0.01588,112.0,187.0
38,108,2022-11-16,2022-11-20,2023-03-28,1.0,,,0.9011013333333333,32.52,full production,0.03,0.5,True,False,False,False,True,False,False,True,True,0.027709333333333332,128.0,4.0
39,7,2022-07-12,2022-09-26,2022-10-22,0.4,,,0.36844000000000005,5.21,full production,,,True,False,True,False,False,False,False,True,False,0.07071733333333333,26.0,76.0
39,6,2023-08-14,2023-11-02,2024-07-04,0.4,,,0.36044000000000004,18.86,track production,0.03,0.0,True,False,False,False,False,False,False,True,False,0.019112,245.0,80.0
40,92,2020-12-16,2020-12-28,2021-05-08,0.4,,,0.4,34.47,full production,,0.5,False,False,True,False,True,True,False,True,True,0.011605333333333334,131.0,12.0
41,24,,2024-02-23,2024-03-06,,,,,11.82,full production,0.5,0.33,False,True,True,False,True,False,False,True,True,,12.0,
41,27,,2022-10-12,2022-10-25,,,,,16.59,full production,,0.33,False,True,True,False,True,True,True,True,True,,13.0,
41,26,,2023-02-17,2023-06-02,,,,,18.2,full production,0.45,0.33,False,True,True,False,True,False,False,True,True,,105.0,
41,25,,2024-03-21,2024-03-23,,,,,7.13,full production,0.5,,False,True,True,False,True,False,False,True,False,,2.0,
42,33,2023-08-26,2023-09-12,2023-10-10,0.5333333333333333,,,0.48058666666666666,16.71,additional production,,,True,False,False,False,False,False,False,True,False,0.028759999999999997,28.0,17.0
43,114,,2023-02-15,2023-03-08,,,,,13.69,full production,,0.33,False,True,True,False,True,False,False,True,True,,21.0,
43,115,,2022-10-14,2022-10-25,,,,,21.11,full production,,0.33,False,True,True,False,True,False,False,True,True,,11.0,
43,117,,2020-09-03,2020-09-09,,,,,22.88,full production,,0.33,False,True,True,False,True,True,True,True,True,,6.0,
43,116,,2021-10-21,2021-11-01,,,,,19.94,full production,,0.33,False,True,True,False,True,False,False,True,True,,11.0,
44,107,2022-10-04,2022-10-05,2022-10-06,0.04,,,0.03684533333333333,0.6,additional production,,,True,False,False,False,False,False,False,True,False,0.061408,1.0,1.0
45,8,2024-06-10,2024-06-14,2024-06-29,0.3333333333333333,0.08,,0.372456,13.85,additional production,0.0,0.0,True,False,False,True,False,False,False,True,False,0.02689333333333333,15.0,4.0
46,128,,2020-02-04,2020-05-13,,,,,29.35,full production,,0.33,False,True,True,False,True,False,False,True,True,,99.0,
47,127,,2020-02-19,2020-08-29,,,,,18.08,songwriting,,0.33,False,True,True,False,True,False,False,False,True,,192.0,
